REF_DATE,GEO,DGUID,Rental unit type,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-20,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1140,,,,0
Jul-20,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1180,,,,0
Oct-20,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1220,,,,0
Jan-21,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1230,,,,0
Apr-21,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1240,,,,0
Jul-21,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1290,,,,0
Oct-21,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1360,,,,0
Jan-22,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1410,,,,0
Apr-22,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1430,,,,0
Jul-22,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1520,,,,0
Oct-22,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1540,,,,0
Jan-23,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1610,,,,0
Apr-23,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1590,,,,0
Jul-23,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1620,,,,0
Oct-23,"Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)",2021S050524505,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424973,8.3.1,1670,,,,0
