REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Dec-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,159.8,,,,1
Jan-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,159.8,,,,1
Feb-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,160.6,,,,1
Mar-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,161.9,,,,1
Apr-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,162.4,,,,1
May-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,162.7,,,,1
Jun-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,162.5,,,,1
Jul-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,163.1,,,,1
Aug-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,163.1,,,,1
Sep-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,161.9,,,,1
Oct-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,161.9,,,,1
Nov-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,162.1,,,,1
Dec-24,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,160.7,,,,1
Jan-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,161,,,,1
Feb-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,162.5,,,,1
Mar-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,163.6,,,,1
Apr-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,163,,,,1
May-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,163.5,,,,1
Jun-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,164.4,,,,1
Jul-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,165.7,,,,1
Aug-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,165.3,,,,1
Sep-25,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,165.2,,,,1
Jan-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,149.2,,,,1
Feb-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,150.2,,,,1
Mar-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,150.8,,,,1
Apr-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,150.9,,,,1
May-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,153.1,,,,1
Jun-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,152.4,,,,1
Jul-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,151.6,,,,1
Aug-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,150.4,,,,1
Sep-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,149.8,,,,1
Oct-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,150.2,,,,1
Nov-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,151.8,,,,1
Dec-20,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,149.2,,,,1
Jan-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,151.2,,,,1
Feb-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,151.2,,,,1
Mar-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,152.3,,,,1
Apr-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,151.9,,,,1
May-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,154.1,,,,1
Jun-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,154.5,,,,1
Jul-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,156,,,,1
Aug-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,155.8,,,,1
Sep-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,155.9,,,,1
Oct-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,157.5,,,,1
Nov-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,157.7,,,,1
Dec-21,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,158.3,,,,1
Jan-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,161.2,,,,1
Feb-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,162.6,,,,1
Mar-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,164.7,,,,1
Apr-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,165.6,,,,1
May-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,168.1,,,,1
Jun-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,168.1,,,,1
Jul-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,170.6,,,,1
Aug-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,171.9,,,,1
Sep-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,172.8,,,,1
Oct-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,173,,,,1
Nov-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,175.2,,,,1
Dec-22,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,173.7,,,,1
Jan-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,177.9,,,,1
Feb-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,179,,,,1
Mar-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,179.4,,,,1
Apr-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,180.4,,,,1
