Province,City,Year,Quarter,1_Bedroom_Rent,2_Bedroom_Rent
Quebec,Trois-Rivières,2020,1,510.0,
Quebec,Trois-Rivières,2020,2,500.0,
Quebec,Trois-Rivières,2020,3,520.0,
Quebec,Trois-Rivières,2020,4,510.0,
Quebec,Trois-Rivières,2021,1,540.0,
Quebec,Trois-Rivières,2021,2,540.0,
Quebec,Trois-Rivières,2021,3,560.0,
Quebec,Trois-Rivières,2021,4,600.0,
Quebec,Trois-Rivières,2022,1,640.0,
Quebec,Trois-Rivières,2022,2,610.0,
Quebec,Trois-Rivières,2022,3,670.0,
Quebec,Trois-Rivières,2022,4,710.0,
Quebec,Trois-Rivières,2023,1,710.0,
Quebec,Trois-Rivières,2023,2,770.0,
Quebec,Trois-Rivières,2023,3,820.0,
Quebec,Trois-Rivières,2023,4,770.0,
Quebec,Trois-Rivières,2024,1,830.0,
Quebec,Trois-Rivières,2024,2,860.0,
Quebec,Trois-Rivières,2024,3,910.0,
Quebec,Trois-Rivières,2024,4,930.0,
Quebec,Trois-Rivières,2025,1,910.0,
British Columbia,Vancouver,2020,1,1910.0,2530.0
British Columbia,Vancouver,2020,2,1870.0,2480.0
British Columbia,Vancouver,2020,3,1850.0,2430.0
British Columbia,Vancouver,2020,4,1810.0,2380.0
British Columbia,Vancouver,2021,1,1840.0,2410.0
British Columbia,Vancouver,2021,2,1860.0,2520.0
British Columbia,Vancouver,2021,3,1910.0,2610.0
British Columbia,Vancouver,2021,4,1970.0,2740.0
British Columbia,Vancouver,2022,1,2060.0,2830.0
British Columbia,Vancouver,2022,2,2190.0,3020.0
British Columbia,Vancouver,2022,3,2400.0,3350.0
British Columbia,Vancouver,2022,4,2450.0,3400.0
British Columbia,Vancouver,2023,1,2440.0,3300.0
British Columbia,Vancouver,2023,2,2520.0,3470.0
British Columbia,Vancouver,2023,3,2640.0,3580.0
British Columbia,Vancouver,2023,4,2560.0,3510.0
British Columbia,Vancouver,2024,1,2530.0,3440.0
British Columbia,Vancouver,2024,2,2520.0,3360.0
British Columbia,Vancouver,2024,3,2510.0,3390.0
British Columbia,Vancouver,2024,4,2450.0,3250.0
British Columbia,Vancouver,2025,1,2380.0,3170.0
British Columbia,Victoria,2020,1,1580.0,1960.0
British Columbia,Victoria,2020,2,1560.0,1920.0
British Columbia,Victoria,2020,3,1570.0,1970.0
British Columbia,Victoria,2020,4,1600.0,2000.0
British Columbia,Victoria,2021,1,1610.0,2050.0
British Columbia,Victoria,2021,2,1640.0,2080.0
British Columbia,Victoria,2021,3,1710.0,2210.0
British Columbia,Victoria,2021,4,1760.0,2410.0
British Columbia,Victoria,2022,1,1830.0,2450.0
British Columbia,Victoria,2022,2,2010.0,2630.0
British Columbia,Victoria,2022,3,2030.0,2640.0
British Columbia,Victoria,2022,4,2090.0,2660.0
British Columbia,Victoria,2023,1,2010.0,2570.0
British Columbia,Victoria,2023,2,2060.0,2600.0
British Columbia,Victoria,2023,3,2090.0,2750.0
British Columbia,Victoria,2023,4,2120.0,2760.0
British Columbia,Victoria,2024,1,2090.0,2690.0
British Columbia,Victoria,2024,2,2090.0,2760.0
British Columbia,Victoria,2024,3,2130.0,2740.0
British Columbia,Victoria,2024,4,2090.0,2730.0
British Columbia,Victoria,2025,1,2090.0,2680.0
Ontario,Windsor,2020,1,1030.0,1370.0
Ontario,Windsor,2020,2,1100.0,1360.0
Ontario,Windsor,2020,3,1110.0,1420.0
Ontario,Windsor,2020,4,1120.0,1440.0
Ontario,Windsor,2021,1,1160.0,1440.0
Ontario,Windsor,2021,2,1170.0,1500.0
Ontario,Windsor,2021,3,1230.0,1460.0
Ontario,Windsor,2021,4,1220.0,1500.0
Ontario,Windsor,2022,1,1230.0,1450.0
Ontario,Windsor,2022,2,1290.0,1570.0
Ontario,Windsor,2022,3,1320.0,1640.0
Ontario,Windsor,2022,4,1320.0,1670.0
Ontario,Windsor,2023,1,1420.0,1720.0
Ontario,Windsor,2023,2,1410.0,1680.0
Ontario,Windsor,2023,3,1400.0,1680.0
Ontario,Windsor,2023,4,1470.0,1840.0
Ontario,Windsor,2024,1,1490.0,1880.0
Ontario,Windsor,2024,2,1510.0,1840.0
Ontario,Windsor,2024,3,1520.0,1900.0
Ontario,Windsor,2024,4,1520.0,1870.0
Ontario,Windsor,2025,1,1490.0,1880.0
Manitoba,Winnipeg,2020,1,1000.0,1260.0
Manitoba,Winnipeg,2020,2,1030.0,1270.0
Manitoba,Winnipeg,2020,3,1030.0,1300.0
Manitoba,Winnipeg,2020,4,1020.0,1290.0
Manitoba,Winnipeg,2021,1,1060.0,1320.0
Manitoba,Winnipeg,2021,2,1060.0,1360.0
Manitoba,Winnipeg,2021,3,1050.0,1340.0
Manitoba,Winnipeg,2021,4,1040.0,1320.0
Manitoba,Winnipeg,2022,1,1050.0,1320.0
Manitoba,Winnipeg,2022,2,1090.0,1340.0
Manitoba,Winnipeg,2022,3,1080.0,1370.0
Manitoba,Winnipeg,2022,4,1090.0,1390.0
Manitoba,Winnipeg,2023,1,1140.0,1430.0
Manitoba,Winnipeg,2023,2,1140.0,1440.0
Manitoba,Winnipeg,2023,3,1130.0,1430.0
Manitoba,Winnipeg,2023,4,1170.0,1490.0
Manitoba,Winnipeg,2024,1,1210.0,1540.0
Manitoba,Winnipeg,2024,2,1220.0,1560.0
Manitoba,Winnipeg,2024,3,1220.0,1570.0
Manitoba,Winnipeg,2024,4,1220.0,1580.0
Manitoba,Winnipeg,2025,1,1270.0,1600.0
